file,filename,fs_inferred,fs_target,rpm_mean,fr_hz,label_cls,label_size_in,label_load_hp,label_or_pos,fault_type_orig,DE_mean,DE_std,DE_rms,DE_kurtosis,DE_skewness,DE_peak,DE_crest_factor,DE_impulse_factor,DE_shape_factor,DE_clearance_factor,DE_dom_freq,DE_spec_centroid,DE_spec_entropy,DE_spec_bandwidth,DE_env_rms,DE_env_kurtosis,DE_FTF,DE_BPFO,DE_BPFI,DE_BSF,DE_rho_d_over_D,DE_FTF_peak,DE_FTF_bandE,DE_FTF_Eratio,DE_FTF_harmE_M5,DE_FTF_harmRatio_M5,DE_FTF_SB_Q3,DE_FTF_SBI_Q3,DE_BPFO_peak,DE_BPFO_bandE,DE_BPFO_Eratio,DE_BPFO_harmE_M5,DE_BPFO_harmRatio_M5,DE_BPFO_SB_Q3,DE_BPFO_SBI_Q3,DE_BPFI_peak,DE_BPFI_bandE,DE_BPFI_Eratio,DE_BPFI_harmE_M5,DE_BPFI_harmRatio_M5,DE_BPFI_SB_Q3,DE_BPFI_SBI_Q3,DE_BSF_peak,DE_BSF_bandE,DE_BSF_Eratio,DE_BSF_harmE_M5,DE_BSF_harmRatio_M5,DE_BSF_SB_Q3,DE_BSF_SBI_Q3,FE_mean,FE_std,FE_rms,FE_kurtosis,FE_skewness,FE_peak,FE_crest_factor,FE_impulse_factor,FE_shape_factor,FE_clearance_factor,FE_dom_freq,FE_spec_centroid,FE_spec_entropy,FE_spec_bandwidth,FE_env_rms,FE_env_kurtosis,FE_FTF,FE_BPFO,FE_BPFI,FE_BSF,FE_rho_d_over_D,FE_FTF_peak,FE_FTF_bandE,FE_FTF_Eratio,FE_FTF_harmE_M5,FE_FTF_harmRatio_M5,FE_FTF_SB_Q3,FE_FTF_SBI_Q3,FE_BPFO_peak,FE_BPFO_bandE,FE_BPFO_Eratio,FE_BPFO_harmE_M5,FE_BPFO_harmRatio_M5,FE_BPFO_SB_Q3,FE_BPFO_SBI_Q3,FE_BPFI_peak,FE_BPFI_bandE,FE_BPFI_Eratio,FE_BPFI_harmE_M5,FE_BPFI_harmRatio_M5,FE_BPFI_SB_Q3,FE_BPFI_SBI_Q3,FE_BSF_peak,FE_BSF_bandE,FE_BSF_Eratio,FE_BSF_harmE_M5,FE_BSF_harmRatio_M5,FE_BSF_SB_Q3,FE_BSF_SBI_Q3,BA_mean,BA_std,BA_rms,BA_kurtosis,BA_skewness,BA_peak,BA_crest_factor,BA_impulse_factor,BA_shape_factor,BA_clearance_factor,BA_dom_freq,BA_spec_centroid,BA_spec_entropy,BA_spec_bandwidth,BA_env_rms,BA_env_kurtosis
data/raw/目标域数据集/A.mat,A.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,0.0002967651999559092,3.4342904658225883,3.4342837710395897,3.156238863629209,0.01070396926475162,16.01107032136012,4.662127939565524,5.879023756402025,1.2610172506226645,6.960215923844664,1325.75,4189.408195196077,10.266482696322091,2727.8895430019784,2.2990954021937458,3.7040183125321335,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.000582277854654354,0.0015459352536519439,0,0,0,0,0,0.000818219343458671,0.0021723548614493906,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/B.mat,B.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,0.0003295242901533042,1.4680980266465125,1.4680951962467763,4.704710569004406,0.03251058149706815,13.436784593724255,9.152529500863258,11.927242688496015,1.3031635339029555,14.309264133603305,276.875,5196.133482590892,10.533259481029779,3278.899462345191,1.0852897083873718,8.914942887528657,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,9.770989779064075e-05,0.0014147753304506604,0,0,0,0,0,0.0004523905765028883,0.006550319280202385,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/C.mat,C.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,-0.0036744042409393987,31.522907014071077,31.522845659983382,28.287527903620344,0.07031556065160238,349.50128995367083,11.087237926534804,22.02102038440526,1.9861592698126296,31.528811841058157,1944.0,7749.357864873806,10.328893145453831,2359.210012766409,36.9463196302978,26.479923330152992,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0013090200753113686,4.108345613923734e-05,0,0,0,0,0,0.0026084898547464046,8.186717725595509e-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/D.mat,D.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,-0.0017758880720991875,8.286128203295137,8.286112209740264,3.068832575012914,0.013287327914175622,37.8458216274123,4.567379812081812,5.739316886848617,1.256588486831498,6.780504726718983,82.75,5963.554744994145,10.40482684135965,2000.2349334806158,5.483534589170981,3.4015481978053628,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.00014191659490064428,6.466554839289261e-05,0,0,0,0,0,0.0017301752839966272,0.0007883696310061528,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/E.mat,E.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,-0.01123611295293081,15.665045479307526,15.665018913172837,40.933321119077526,-0.047966380824657866,179.9677218986726,11.488509710469378,26.34954586977093,2.2935564780659776,39.81713589773448,1521.75,7730.5994517690515,10.400146843747416,2726.0585035624763,19.370274620596952,35.961238298230654,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0014536084748152207,0.0001867004505870714,0,0,0,0,0,0.001721766441293762,0.00022114247128072527,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/F.mat,F.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,0.007290896963408495,5.776195257192289,5.7761885769578285,3.0776177904272,0.010823360891540207,26.654893634368676,4.61461624378045,5.803533593068801,1.2576416513270776,6.861173803075634,1325.5,5601.373895729876,10.41664217158148,2315.2353818641072,3.828956240039834,3.4202310159846663,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0002680776910631106,0.00025116821431081466,0,0,0,0,0,0.0006969471012694019,0.000652985924344312,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/G.mat,G.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,0.001302988811597137,1.6040273755854686,1.6040247719414735,4.264535758566194,-0.033561207612943275,10.563148137576647,6.5854021224318515,8.554420000104699,1.2989973643319035,10.261294152910752,276.625,5042.859499123531,10.31876202992539,3397.1574978879003,1.1748354548729754,6.755411265054896,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.00011527404732209703,0.0014035569283706775,0,0,0,0,0,0.0009206437132747446,0.011209599145218668,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/H.mat,H.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,0.0018220499099396506,10.848953035588378,10.848931999210562,4.874415000302534,-0.2580174408484028,69.89483931400075,6.442554835728231,8.443944703331326,1.3106515844466025,10.148038129762439,1984.0,6647.948817520542,10.125855647085128,3921.636133964719,8.153611133062222,8.417418459997991,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0007481738126939738,0.00019845919303989752,0,0,0,0,0,0.004964604253610768,0.0013169016840970911,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/I.mat,I.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,-0.019944719107369013,29.66489110344749,29.664839868920613,21.23183001318142,-0.0100874305962432,299.755418628683,10.104737458661695,16.485305250368484,1.6314432035280064,21.332675982774585,2031.75,7111.556816740053,10.392439114527846,2391.713886102309,30.713350871505096,29.06756481554391,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0019259219078357555,6.81009434855022e-05,0,0,0,0,0,0.00855348883356559,0.00030245289660425865,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data/raw/目标域数据集/J.mat,J.mat,32000,32000,600,10.0,Unknown,0.0,0.0,Unknown,0.0,0.0071040603483364705,30.09618976326879,30.096131820031964,37.10598318506345,0.2585336724206004,432.438309436089,14.36856776219522,28.30776845279496,1.970117615151235,39.52806633088947,7861.5,8060.091193221048,10.49293828002786,2596.0346731208615,35.12604869769262,36.596148906275786,3.9837345478204296,35.853610930383866,54.14638906961614,23.583606506847314,0.20325309043591414,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0008546848732910162,2.9460087087034225e-05,0,0,0,0,0,0.005107236498814093,0.0001760410611337825,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
